"","Month","Normal","First7D","Observed","Year"
"1","Jan",32.6,35.1,27,2009
"2","Feb",35.7,32.9,39.1,2009
"3","Mar",49.9,44.3,53.2,2009
"4","Apr",61.5,54.9,61.2,2009
"5","May",73.5,66.6,72.1,2009
"6","June",79.8,73,78.6,2009
"7","July",83.3,74.7,78.1,2009
"8","Aug",82,78.6,80.1,2009
"9","Sep",75.1,77.2,73.3,2009
"10","Oct",62.1,61.3,58.9,2009
"11","Nov",51,52.4,54.5,2009
"12","Dec",40.4,40.6,36.7,2009
"13","Jan",32.6,23.2,30.3,2010
"14","Feb",35.7,32.2,31.8,2010
"15","Mar",49.9,38.4,51.8,2010
"16","Apr",61.5,78.5,66.7,2010
"17","May",73.5,74.1,73.6,2010
"18","June",79.8,77,80.2,2010
"19","July",83.3,85.1,84.9,2010
"20","Aug",82,83.6,84.2,2010
"21","Sep",75.1,81.3,75.3,2010
"22","Oct",62.1,59.5,63.8,2010
"23","Nov",51,47.6,53,2010
"24","Dec",40.4,29.7,30.2,2010
"25","Jan",32.6,34.9,29.2,2011
"26","Feb",35.7,33,37.6,2011
"27","Mar",49.9,40.8,46.1,2011
"28","Apr",61.5,52.4,60.7,2011
"29","May",73.5,59.8,71.6,2011
"30","June",79.8,81.5,79.3,2011
"31","July",83.3,86.6,87.3,2011
"32","Aug",82,86.4,81.5,2011
"33","Sep",75.1,79.1,73,2011
"34","Oct",62.1,65.4,61.6,2011
"35","Nov",51,60.2,56.7,2011
"36","Dec",40.4,45.9,43.6,2011
"37","Jan",32.6,40.6,39.9,2012
"38","Feb",35.7,44.1,42.4,2012
"39","Mar",49.9,50.8,62.6,2012
"40","Apr",61.5,59,60.2,2012
"41","May",73.5,80.2,78.1,2012
"42","June",79.8,71.4,81.6,2012
"43","July",83.3,92.3,88.2,2012
"44","Aug",82,88.4,83.5,2012
"45","Sep",75.1,84.7,73.4,2012
"46","Oct",62.1,65.4,61.5,2012
"47","Nov",51,42.2,48.6,2012
"48","Dec",40.4,52.6,43.6,2012
"49","Jan",32.6,32.4,37.7,2013
"50","Feb",35.7,27.7,34.7,2013
"51","Mar",49.9,35,41.9,2013
"52","Apr",61.5,51.4,61.6,2013
"53","May",73.5,74.5,73.9,2013
"54","June",79.8,71.6,78.5,2013
"55","July",83.3,81.1,81.5,2013
"56","Aug",82,76.8,80.2,2013
"57","Sep",75.1,77.2,74.4,2013
"58","Oct",62.1,76.2,63.8,2013
"59","Nov",51,56.1,46.4,2013
"60","Dec",40.4,45.3,38.8,2013
"61","Jan",32.6,28.3,29.8,2014
"62","Feb",35.7,29.6,31.9,2014
"63","Mar",49.9,35.1,43.4,2014
"64","Apr",61.5,57.9,62.2,2014
"65","May",73.5,62.9,72.4,2014
"66","June",79.8,78.3,80.7,2014
"67","July",83.3,79.7,79.2,2014
"68","Aug",82,79.8,80.7,2014
"69","Sep",75.1,82.4,74.9,2014
"70","Oct",62.1,62.9,61.6,2014
"71","Nov",51,51.7,44.4,2014
"72","Dec",40.4,41.2,40.8,2014
"73","Jan",32.6,34.2,31.6,2015
"74","Feb",35.7,33.7,25.9,2015
"75","Mar",49.9,33.5,45,2015
"76","Apr",61.5,59.2,60.4,2015
"77","May",73.5,77.1,76.1,2015
"78","June",79.8,73.3,77.9,2015
"79","July",83.3,79.5,81.7,2015
"80","Aug",82,81.1,81,2015
"81","Sep",75.1,87.5,78.7,2015
"82","Oct",62.1,65.7,63.4,2015
"83","Nov",51,69.3,57,2015
"84","Dec",40.4,45.8,50.8,2015
"85","Jan",32.6,35.6,35.5,2016
"86","Feb",35.7,49.1,42.5,2016
"87","Mar",49.9,42.6,55.6,2016
"88","Apr",61.5,52.4,59.4,2016
"89","May",73.5,64.2,70.1,2016
"90","June",79.8,80,81.5,2016
"91","July",83.3,80.9,85.5,2016
"92","Aug",82,88.1,86.4,2016
