"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"1",0,3,"female",37,0,0,9.5875,"S"
"2",0,2,"male",47,0,0,15,"S"
"3",0,3,"male",43,0,0,6.45,"S"
"4",0,3,"male",24,0,0,9.5,"S"
"5",0,2,"male",32,0,0,10.5,"S"
"6",0,3,"male",14,5,2,46.9,"S"
"7",1,1,"male",25,1,0,55.4417,"C"
"8",0,3,"male",28,0,0,7.7958,"S"
"9",1,3,"female",NA,0,0,7.7333,"Q"
"10",1,1,"female",NA,0,0,110.8833,"C"
"11",1,1,"female",18,2,2,262.375,"C"
"12",0,2,"male",NA,0,0,0,"S"
"13",0,3,"male",NA,0,0,7.75,"Q"
"14",0,3,"male",45,0,0,6.975,"S"
"15",1,1,"female",22,1,0,66.6,"S"
"16",0,3,"male",NA,0,0,7.8958,"S"
"17",0,3,"male",36,1,1,24.15,"S"
"18",0,1,"male",NA,0,0,39.6,"C"
"19",0,3,"male",16,1,1,20.25,"S"
"20",1,1,"male",11,1,2,120,"S"
"21",0,3,"male",NA,0,0,7.8958,"S"
"22",0,3,"male",NA,1,0,15.5,"Q"
"23",1,3,"female",36,1,0,17.4,"S"
"24",0,3,"male",18,1,1,7.8542,"S"
"25",0,3,"male",19,0,0,0,"S"
"26",1,1,"female",50,0,1,247.5208,"C"
"27",0,3,"male",NA,0,0,7.75,"Q"
"28",0,2,"male",42,0,0,13,"S"
"29",0,1,"male",30,0,0,27.75,"C"
"30",1,2,"male",0.83,1,1,18.75,"S"
"31",1,2,"female",42,1,0,26,"S"
"32",1,2,"female",29,1,0,26,"S"
"33",1,3,"male",29,0,0,7.75,"Q"
"34",0,3,"male",34,0,0,6.4958,"S"
"35",1,1,"female",52,1,0,78.2667,"C"
"36",0,3,"female",20,0,0,8.6625,"S"
"37",1,3,"female",4,0,1,13.4167,"C"
"38",0,1,"male",NA,0,0,27.7208,"C"
"39",1,2,"female",NA,0,0,12.35,"Q"
