"","Made","Dist","Home","Stadium..","Indoor","Grass","Playoff","Time","Qtr","Marg","X.Marg.","Temp","Precip","Precip.Bin","Dewpt","Humidity","H.T.wind","C.wind","Altitude","Wind","Denver","FG.ID","Backup","Def.PA"
"1",1,24,1,35,0,0,0,48,1,7,7,84.9,0,0,60,0.43,4.1,4.1,60,5.8,0,1,0,18.5
"2",1,25,1,35,0,0,0,41,2,10,10,81,0,0,62,0.52,4.9,4.9,60,6.9,0,2,0,18.5
"3",1,47,1,35,0,0,0,32,2,13,13,81,0,0,62,0.52,4.9,4.9,60,6.9,0,3,0,18.5
"4",1,50,1,2,1,0,0,24,3,-7,7,72,0,0,52,0.5,0,0,1083,0,0,4,0,32.3
"5",1,25,1,2,1,0,0,10,4,10,10,72,0,0,52,0.5,0,0,1083,0,0,5,0,32.3
"6",0,47,1,3,0,0,0,37,2,7,7,80.1,0,0,53,0.39,3.3,3.3,19,4.7,0,6,0,22.8
"7",1,21,1,3,0,0,0,31,2,7,7,80.1,0,0,53,0.39,3.3,3.3,19,4.7,0,7,0,22.8
"8",1,43,0,3,0,0,0,30,2,-10,10,80.1,0,0,53,0.39,3.3,3.3,19,4.7,0,8,0,15.3
"9",1,35,1,4,0,0,0,31,2,7,7,62.1,1.28,1,58,0.86,6.5,6.5,234,9.2,0,9,0,24.5
"10",1,38,1,4,0,0,0,30,2,10,10,62.1,1.28,1,58,0.86,6.5,6.5,234,9.2,0,10,0,24.5
"11",1,45,0,4,0,0,0,21,3,-13,13,62.1,0.56,1,59,0.9,0,10.4,234,10.4,0,11,0,21.4
"12",0,52,1,4,0,0,0,11,4,24,24,62.1,0.02,1,55,0.78,5.3,12.7,234,13.8,0,12,0,24.5
"13",1,34,1,8,0,1,0,10,4,-21,21,71.1,0,0,58,0.63,4.4,10.6,590,11.5,0,13,0,22.8
"14",0,32,0,17,0,1,0,48,1,7,7,90,0,0,71,0.54,8.1,8.1,40,11.5,0,14,1,19.8
"15",1,40,0,19,0,0,0,30,2,-7,7,79,0,0,61,0.54,10.6,4.4,289,11.5,0,15,1,19.3
"16",1,37,1,19,0,0,0,2,4,4,4,78.1,0,0,58,0.5,0,8.1,289,8.1,0,16,0,27.5
"17",1,37,0,20,1,0,0,30,2,-7,7,72,0,0,52,0.5,0,0,3,0,0,17,0,22.7
"18",1,34,1,20,1,0,0,15,3,-3,3,72,0,0,52,0.5,0,0,3,0,0,18,1,20.2
"19",1,33,0,20,1,0,0,15,3,0,0,72,0,0,52,0.5,0,0,3,0,0,19,0,22.7
"20",1,23,1,24,0,1,0,17,3,28,28,81,0,0,56,0.42,4,9.6,6,10.4,0,20,0,29.1
"21",1,46,0,24,0,1,0,9,4,-38,38,82.9,0,0,54,0.37,3.5,8.5,6,9.2,0,21,0,18.1
"22",1,34,0,25,0,1,0,34,2,-21,21,73.9,0,0,52,0.46,3.5,8.5,722,9.2,0,22,0,13.9
"23",1,44,1,25,0,1,0,5,4,25,25,73.9,0,0,54,0.5,2.6,6.4,722,6.9,0,23,0,24.6
"24",1,44,0,26,0,1,0,42,2,0,0,75,0,0,62,0.64,12.5,5.2,20,13.5,0,24,0,21.7
"25",1,33,0,26,0,1,0,34,2,-4,4,75,0,0,62,0.64,12.5,5.2,20,13.5,0,25,0,21.7
"26",1,30,0,26,0,1,0,30,2,-1,1,75,0,0,62,0.64,12.5,5.2,20,13.5,0,26,0,21.7
"27",1,27,1,26,0,1,0,20,3,-2,2,73.9,0,0,61,0.64,9.6,4,20,10.4,0,27,0,20.6
"28",1,49,0,26,0,1,0,10,4,-1,1,73.9,0,0,61,0.64,7.5,3.1,20,8.1,0,28,0,21.7
"29",1,25,0,28,0,1,0,56,1,0,0,66.9,0,0,55,0.66,8.4,20.2,65,21.9,0,29,0,23.8
"30",0,35,0,28,0,1,0,53,1,3,3,66.9,0,0,55,0.66,8.4,20.2,65,21.9,0,30,0,23.8
"31",1,39,1,28,0,1,0,31,2,-3,3,69.1,0,0,55,0.61,9.5,23,65,24.9,0,31,0,26.6
"32",1,31,0,28,0,1,0,23,3,0,0,68,0,0,55,0.63,8.8,21.2,65,23,0,32,0,23.8
"33",1,30,1,28,0,1,0,12,4,-10,10,66.9,0,0,54,0.63,10.4,25.1,65,27.2,0,33,0,26.6
